method,alpha,beta,output_dir,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10
clip_arithmetic_baseline,2.0,1.5,outputs\baseline_run\test_subset_alpha2.00_beta1.50,0.05975609756097561,0.05975609756097561,0.15,0.03926829268292683,0.22865853658536586,0.033658536585365856
clip_arithmetic_baseline,2.0,0.5,outputs\baseline_run\test_subset_alpha2.00_beta0.50,0.05548780487804878,0.05548780487804878,0.14878048780487804,0.03878048780487805,0.22682926829268293,0.03323170731707317
clip_arithmetic_baseline,2.0,2.0,outputs\baseline_run\test_subset_alpha2.00_beta2.00,0.05975609756097561,0.05975609756097561,0.15121951219512195,0.039634146341463415,0.22682926829268293,0.03371951219512195
clip_arithmetic_baseline,2.0,1.0,outputs\baseline_run\test_subset_alpha2.00_beta1.00,0.05609756097560976,0.05609756097560976,0.15,0.03878048780487805,0.22621951219512196,0.03323170731707317
clip_arithmetic_baseline,2.0,0.25,outputs\baseline_run\test_subset_alpha2.00_beta0.25,0.054878048780487805,0.054878048780487805,0.14634146341463414,0.038048780487804884,0.225,0.03298780487804878
clip_arithmetic_baseline,1.5,1.0,outputs\baseline_run\test_subset_alpha1.50_beta1.00,0.0524390243902439,0.0524390243902439,0.13170731707317074,0.03560975609756098,0.2073170731707317,0.0300609756097561
clip_arithmetic_baseline,1.5,1.5,outputs\baseline_run\test_subset_alpha1.50_beta1.50,0.05365853658536585,0.05365853658536585,0.13048780487804879,0.035731707317073175,0.20670731707317072,0.03030487804878049
clip_arithmetic_baseline,1.5,2.0,outputs\baseline_run\test_subset_alpha1.50_beta2.00,0.05426829268292683,0.05426829268292683,0.1353658536585366,0.03682926829268293,0.20670731707317072,0.03073170731707317
clip_arithmetic_baseline,1.5,0.5,outputs\baseline_run\test_subset_alpha1.50_beta0.50,0.05121951219512195,0.05121951219512195,0.1329268292682927,0.03585365853658537,0.2030487804878049,0.029817073170731706
clip_arithmetic_baseline,1.5,0.25,outputs\baseline_run\test_subset_alpha1.50_beta0.25,0.05060975609756098,0.05060975609756098,0.1323170731707317,0.035487804878048784,0.200609756097561,0.029512195121951218
clip_arithmetic_baseline,1.0,2.0,outputs\baseline_run\test_subset_alpha1.00_beta2.00,0.05,0.05,0.11768292682926829,0.03280487804878049,0.17682926829268292,0.026951219512195125
clip_arithmetic_baseline,1.0,1.5,outputs\baseline_run\test_subset_alpha1.00_beta1.50,0.05,0.05,0.11341463414634147,0.03219512195121951,0.175,0.027012195121951223
clip_arithmetic_baseline,1.0,1.0,outputs\baseline_run\test_subset_alpha1.00_beta1.00,0.05,0.05,0.11219512195121951,0.03170731707317073,0.17073170731707318,0.02609756097560976
clip_arithmetic_baseline,1.0,0.25,outputs\baseline_run\test_subset_alpha1.00_beta0.25,0.04695121951219512,0.04695121951219512,0.11402439024390244,0.03182926829268293,0.1701219512195122,0.02603658536585366
clip_arithmetic_baseline,1.0,0.5,outputs\baseline_run\test_subset_alpha1.00_beta0.50,0.046341463414634146,0.046341463414634146,0.11463414634146342,0.03219512195121951,0.1701219512195122,0.025975609756097563
clip_arithmetic_baseline,0.5,1.0,outputs\baseline_run\test_subset_alpha0.50_beta1.00,0.043292682926829265,0.043292682926829265,0.10121951219512196,0.02829268292682927,0.1524390243902439,0.023963414634146345
clip_arithmetic_baseline,0.5,1.5,outputs\baseline_run\test_subset_alpha0.50_beta1.50,0.045121951219512194,0.045121951219512194,0.1024390243902439,0.02878048780487805,0.15182926829268292,0.02402439024390244
clip_arithmetic_baseline,0.5,2.0,outputs\baseline_run\test_subset_alpha0.50_beta2.00,0.04451219512195122,0.04451219512195122,0.10670731707317073,0.029512195121951218,0.14817073170731707,0.023597560975609756
clip_arithmetic_baseline,0.5,0.25,outputs\baseline_run\test_subset_alpha0.50_beta0.25,0.04085365853658537,0.04085365853658537,0.10426829268292682,0.028902439024390242,0.14573170731707316,0.02347560975609756
clip_arithmetic_baseline,0.5,0.5,outputs\baseline_run\test_subset_alpha0.50_beta0.50,0.04085365853658537,0.04085365853658537,0.10365853658536585,0.02902439024390244,0.14573170731707316,0.02347560975609756
clip_arithmetic_baseline,0.25,1.5,outputs\baseline_run\test_subset_alpha0.25_beta1.50,0.042682926829268296,0.042682926829268296,0.0975609756097561,0.027195121951219512,0.1420731707317073,0.022560975609756097
clip_arithmetic_baseline,0.25,1.0,outputs\baseline_run\test_subset_alpha0.25_beta1.00,0.04207317073170732,0.04207317073170732,0.0951219512195122,0.026829268292682926,0.14085365853658535,0.02231707317073171
clip_arithmetic_baseline,0.25,2.0,outputs\baseline_run\test_subset_alpha0.25_beta2.00,0.04207317073170732,0.04207317073170732,0.09939024390243903,0.027195121951219512,0.1378048780487805,0.02207317073170732
clip_arithmetic_baseline,0.25,0.5,outputs\baseline_run\test_subset_alpha0.25_beta0.50,0.04085365853658537,0.04085365853658537,0.09634146341463415,0.026951219512195125,0.13719512195121952,0.02207317073170732
clip_arithmetic_baseline,0.25,0.25,outputs\baseline_run\test_subset_alpha0.25_beta0.25,0.039634146341463415,0.039634146341463415,0.09634146341463415,0.026829268292682926,0.13658536585365855,0.022134146341463417
