attribute_a,attribute_b,value
Heavy_Makeup,Wearing_Lipstick,0.9911636114120483
Male,Wearing_Lipstick,-0.9739181399345398
Arched_Eyebrows,Heavy_Makeup,0.9728941917419434
Chubby,Double_Chin,0.9714975357055664
Goatee,No_Beard,-0.9646303653717041
Arched_Eyebrows,Wearing_Lipstick,0.9645805954933167
Goatee,Mustache,0.9618203639984131
High_Cheekbones,Smiling,0.957453727722168
No_Beard,Sideburns,-0.9527984261512756
Wearing_Lipstick,Wearing_Necklace,0.947673499584198
Heavy_Makeup,Male,-0.941092848777771
Goatee,Sideburns,0.9380024075508118
Heavy_Makeup,Wearing_Necklace,0.9335452318191528
Male,Wearing_Necklace,-0.9330347776412964
Mustache,No_Beard,-0.9301793575286865
Bags_Under_Eyes,Big_Nose,0.9299678802490234
Wearing_Earrings,Wearing_Necklace,0.9274168610572815
Arched_Eyebrows,Wearing_Necklace,0.9194262027740479
Arched_Eyebrows,Male,-0.9184302091598511
Arched_Eyebrows,Wearing_Earrings,0.9109199047088623
Heavy_Makeup,Wearing_Earrings,0.9098123908042908
Double_Chin,Young,-0.9080268144607544
5_o_Clock_Shadow,No_Beard,-0.9043326377868652
Male,No_Beard,-0.9037162065505981
Wearing_Earrings,Wearing_Lipstick,0.902222752571106
Attractive,Heavy_Makeup,0.9007406234741211
Heavy_Makeup,Wavy_Hair,0.8991981148719788
Double_Chin,Gray_Hair,0.8981956243515015
Wavy_Hair,Wearing_Lipstick,0.8974878191947937
Gray_Hair,Young,-0.8945910930633545
Bags_Under_Eyes,Male,0.8924673795700073
Big_Nose,Chubby,0.8889185190200806
Bags_Under_Eyes,Wearing_Necktie,0.8879873752593994
Double_Chin,Wearing_Necktie,0.884010374546051
Big_Nose,Double_Chin,0.8832716345787048
Big_Nose,Male,0.8803843855857849
Attractive,Wearing_Lipstick,0.8801583051681519
Wavy_Hair,Wearing_Necklace,0.8794078826904297
Arched_Eyebrows,Wavy_Hair,0.8731146454811096
Mustache,Sideburns,0.8724713325500488
Heavy_Makeup,Pointy_Nose,0.8718831539154053
5_o_Clock_Shadow,Sideburns,0.8691504001617432
Big_Nose,Wearing_Necktie,0.8684250116348267
Chubby,Young,-0.8668394088745117
Male,Wearing_Earrings,-0.865293025970459
Bags_Under_Eyes,Wearing_Lipstick,-0.8645510673522949
Bald,Chubby,0.8598873615264893
No_Beard,Wearing_Lipstick,0.8562618494033813
Bald,Double_Chin,0.8561305999755859
Arched_Eyebrows,Attractive,0.8560807704925537
Rosy_Cheeks,Wearing_Earrings,0.8505622148513794
Male,Wavy_Hair,-0.8467427492141724
Big_Nose,Wearing_Lipstick,-0.8453432321548462
Attractive,Pointy_Nose,0.8449569940567017
Heavy_Makeup,Rosy_Cheeks,0.8444364070892334
5_o_Clock_Shadow,Male,0.8434929847717285
Pointy_Nose,Wearing_Lipstick,0.8430228233337402
Gray_Hair,Wearing_Necktie,0.8426770567893982
Double_Chin,Receding_Hairline,0.8424044847488403
Bags_Under_Eyes,Heavy_Makeup,-0.8420708179473877
Pointy_Nose,Rosy_Cheeks,0.841686487197876
Chubby,Wearing_Necktie,0.8408185243606567
Pointy_Nose,Wavy_Hair,0.8403893113136292
No_Beard,Wearing_Necklace,0.8394030332565308
Mouth_Slightly_Open,Smiling,0.8344278335571289
Arched_Eyebrows,Big_Lips,0.8300222158432007
Bags_Under_Eyes,Double_Chin,0.8288216590881348
Arched_Eyebrows,Pointy_Nose,0.8287253379821777
Chubby,Gray_Hair,0.8275271654129028
Big_Lips,Heavy_Makeup,0.8242411613464355
Attractive,Big_Nose,-0.8228991031646729
Wearing_Necktie,Young,-0.8226105570793152
Attractive,Chubby,-0.8213056325912476
Big_Lips,Wearing_Lipstick,0.8201544284820557
Rosy_Cheeks,Wearing_Necklace,0.8187015652656555
Big_Nose,Heavy_Makeup,-0.8153172731399536
Gray_Hair,Receding_Hairline,0.8147075176239014
Arched_Eyebrows,Rosy_Cheeks,0.8135117292404175
Chubby,Receding_Hairline,0.8133307695388794
Goatee,Male,0.8124879598617554
Heavy_Makeup,No_Beard,0.8121809959411621
Male,Mustache,0.8121640682220459
High_Cheekbones,Rosy_Cheeks,0.8083577156066895
Wavy_Hair,Wearing_Earrings,0.808260440826416
Attractive,Wavy_Hair,0.8070710897445679
Bald,Receding_Hairline,0.8069765567779541
Arched_Eyebrows,Bags_Under_Eyes,-0.8052825331687927
Bald,Big_Nose,0.8048374652862549
