attribute_a,attribute_b,value
Heavy_Makeup,Wearing_Lipstick,0.7945466637611389
Male,Wearing_Lipstick,-0.7872670888900757
High_Cheekbones,Smiling,0.7070920467376709
Heavy_Makeup,Male,-0.6501366496086121
Goatee,No_Beard,-0.5708995461463928
Chubby,Double_Chin,0.5698224306106567
Mouth_Slightly_Open,Smiling,0.5519813895225525
Goatee,Sideburns,0.5325538516044617
No_Beard,Sideburns,-0.5311452746391296
5_o_Clock_Shadow,No_Beard,-0.5278133749961853
Attractive,Wearing_Lipstick,0.5115759968757629
Attractive,Heavy_Makeup,0.4971123933792114
Male,No_Beard,-0.4892539978027344
Arched_Eyebrows,Wearing_Lipstick,0.4809300899505615
Goatee,Mustache,0.461721271276474
Mustache,No_Beard,-0.4602808654308319
Arched_Eyebrows,Heavy_Makeup,0.4524494409561157
High_Cheekbones,Mouth_Slightly_Open,0.4516439735889435
Attractive,Male,-0.4211750030517578
Arched_Eyebrows,Male,-0.41783761978149414
Attractive,Young,0.3937791585922241
5_o_Clock_Shadow,Male,0.3917548954486847
No_Beard,Wearing_Lipstick,0.3908894658088684
Big_Nose,Male,0.3840000033378601
Bags_Under_Eyes,Big_Nose,0.3813922107219696
Wearing_Earrings,Wearing_Lipstick,0.3776024281978607
Wavy_Hair,Wearing_Lipstick,0.3737572133541107
Male,Wearing_Earrings,-0.37201958894729614
Gray_Hair,Young,-0.3708255887031555
Heavy_Makeup,Wearing_Earrings,0.3654564917087555
Mustache,Sideburns,0.3594180643558502
Blond_Hair,Male,-0.3383632004261017
Male,Wavy_Hair,-0.3348484933376312
Heavy_Makeup,Wavy_Hair,0.33042111992836
Big_Nose,Chubby,0.33031126856803894
Blond_Hair,Wearing_Lipstick,0.32497209310531616
Chubby,Young,-0.32482901215553284
Double_Chin,Young,-0.32203519344329834
Heavy_Makeup,No_Beard,0.3210592269897461
Straight_Hair,Wavy_Hair,-0.31462782621383667
High_Cheekbones,Wearing_Lipstick,0.3143734931945801
Big_Nose,Wearing_Lipstick,-0.3139619827270508
Big_Nose,Double_Chin,0.31376534700393677
5_o_Clock_Shadow,Wearing_Lipstick,-0.3122180700302124
Arched_Eyebrows,Wearing_Earrings,0.310678631067276
Heavy_Makeup,Rosy_Cheeks,0.3096882998943329
Male,Wearing_Necktie,0.30962494015693665
Big_Nose,Young,-0.3072640895843506
Heavy_Makeup,High_Cheekbones,0.3043789863586426
Bags_Under_Eyes,Male,0.3011845648288727
Male,Young,-0.29878371953964233
Blond_Hair,Heavy_Makeup,0.2951558530330658
Gray_Hair,Receding_Hairline,0.29377350211143494
Attractive,Big_Nose,-0.2921256422996521
Double_Chin,Gray_Hair,0.29148921370506287
Bags_Under_Eyes,Heavy_Makeup,-0.2855590283870697
Goatee,Male,0.2853042185306549
Big_Nose,Heavy_Makeup,-0.2820650339126587
Gray_Hair,Wearing_Necktie,0.2808016538619995
Bags_Under_Eyes,Wearing_Lipstick,-0.2790800929069519
Heavy_Makeup,Pointy_Nose,0.2774551212787628
Arched_Eyebrows,Attractive,0.276599258184433
Black_Hair,Bushy_Eyebrows,0.27647581696510315
Pointy_Nose,Wearing_Lipstick,0.27219289541244507
High_Cheekbones,Male,-0.2720053195953369
Wearing_Lipstick,Wearing_Necklace,0.2689252495765686
Rosy_Cheeks,Wearing_Lipstick,0.26456376910209656
Wearing_Necktie,Young,-0.26381248235702515
Male,Sideburns,0.26379579305648804
Male,Wearing_Necklace,-0.26249489188194275
Arched_Eyebrows,Big_Lips,0.26034602522850037
5_o_Clock_Shadow,Heavy_Makeup,-0.2564610242843628
Wearing_Lipstick,Young,0.2556542456150055
High_Cheekbones,Wearing_Earrings,0.25154832005500793
Black_Hair,Blond_Hair,-0.2509573698043823
High_Cheekbones,Rosy_Cheeks,0.24969393014907837
5_o_Clock_Shadow,Sideburns,0.24937699735164642
Bushy_Eyebrows,Male,0.24698445200920105
Wearing_Lipstick,Wearing_Necktie,-0.24660497903823853
Arched_Eyebrows,Rosy_Cheeks,0.2457524538040161
Chubby,Gray_Hair,0.24509073793888092
Bald,Chubby,0.24377040565013885
Big_Nose,No_Beard,-0.2437458634376526
Double_Chin,Wearing_Necktie,0.24319298565387726
Black_Hair,Brown_Hair,-0.2424319088459015
Bags_Under_Eyes,Young,-0.2424120306968689
Chubby,Male,0.24056798219680786
Attractive,Pointy_Nose,0.2396591305732727
Male,Mustache,0.23493659496307373
Heavy_Makeup,Oval_Face,0.23326078057289124
Bald,Double_Chin,0.23325671255588531
High_Cheekbones,Oval_Face,0.23312759399414062
Attractive,Eyeglasses,-0.23291634023189545
Heavy_Makeup,Young,0.23278482258319855
Attractive,Chubby,-0.23243266344070435
