method,alpha,beta_text,beta_visual_pos,beta_visual_neg,output_dir,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10
hybrid_text_visual_fusion,1.0,2.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.50_bvneg0.25,0.06707317073170732,0.06707317073170732,0.1926829268292683,0.05036585365853659,0.28597560975609754,0.04134146341463414
hybrid_text_visual_fusion,1.0,2.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.50_bvneg0.00,0.06890243902439025,0.06890243902439025,0.19085365853658537,0.05048780487804878,0.28292682926829266,0.042195121951219515
hybrid_text_visual_fusion,1.0,2.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.25_bvneg0.25,0.06585365853658537,0.06585365853658537,0.18597560975609756,0.048658536585365855,0.27439024390243905,0.04109756097560976
hybrid_text_visual_fusion,1.0,2.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.25_bvneg0.00,0.06707317073170732,0.06707317073170732,0.18170731707317073,0.04804878048780488,0.2658536585365854,0.0399390243902439
hybrid_text_visual_fusion,1.0,2.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.25_bvneg0.50,0.056707317073170734,0.056707317073170734,0.174390243902439,0.04524390243902439,0.2548780487804878,0.037621951219512194
hybrid_text_visual_fusion,1.0,2.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.50_bvneg0.50,0.05914634146341463,0.05914634146341463,0.1719512195121951,0.044756097560975615,0.2548780487804878,0.03689024390243902
hybrid_text_visual_fusion,2.0,2.0,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos1.00_bvneg0.25,0.06280487804878049,0.06280487804878049,0.18170731707317073,0.04695121951219512,0.2548780487804878,0.03719512195121951
hybrid_text_visual_fusion,1.0,1.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.50_bvneg0.25,0.06402439024390244,0.06402439024390244,0.17865853658536585,0.04573170731707317,0.250609756097561,0.036280487804878046
hybrid_text_visual_fusion,2.0,2.0,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos1.00_bvneg0.50,0.06402439024390244,0.06402439024390244,0.17865853658536585,0.04573170731707317,0.250609756097561,0.036280487804878046
hybrid_text_visual_fusion,1.0,1.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.50_bvneg0.00,0.06707317073170732,0.06707317073170732,0.1774390243902439,0.04658536585365854,0.24878048780487805,0.036463414634146346
hybrid_text_visual_fusion,2.0,2.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos1.00_bvneg0.00,0.06707317073170732,0.06707317073170732,0.1774390243902439,0.04658536585365854,0.24878048780487805,0.036463414634146346
hybrid_text_visual_fusion,2.0,1.0,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos1.00_bvneg0.25,0.060365853658536583,0.060365853658536583,0.16341463414634147,0.04231707317073171,0.24146341463414633,0.035304878048780484
