method,alpha,beta_text,beta_visual_pos,beta_visual_neg,output_dir,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10
hybrid_text_visual_fusion,1.0,2.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.25_bvneg0.25,0.06707317073170732,0.06707317073170732,0.19085365853658537,0.05060975609756098,0.2810975609756098,0.04164634146341463
hybrid_text_visual_fusion,1.0,2.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.50_bvneg0.00,0.06646341463414634,0.06646341463414634,0.19634146341463415,0.05170731707317073,0.2774390243902439,0.04213414634146342
hybrid_text_visual_fusion,1.0,2.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.50_bvneg0.25,0.06829268292682927,0.06829268292682927,0.19451219512195123,0.05085365853658537,0.27682926829268295,0.04091463414634147
hybrid_text_visual_fusion,1.0,2.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.25_bvneg0.00,0.06951219512195123,0.06951219512195123,0.1902439024390244,0.050975609756097565,0.27134146341463417,0.040609756097560984
hybrid_text_visual_fusion,2.0,2.0,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos1.00_bvneg0.25,0.06341463414634146,0.06341463414634146,0.18353658536585366,0.04646341463414634,0.2652439024390244,0.03865853658536586
hybrid_text_visual_fusion,1.0,2.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.25_bvneg0.50,0.061585365853658536,0.061585365853658536,0.17621951219512194,0.04646341463414634,0.26158536585365855,0.03823170731707317
hybrid_text_visual_fusion,1.0,1.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.50_bvneg0.00,0.06707317073170732,0.06707317073170732,0.18170731707317073,0.04695121951219512,0.2579268292682927,0.037621951219512194
hybrid_text_visual_fusion,2.0,2.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos1.00_bvneg0.00,0.06707317073170732,0.06707317073170732,0.18170731707317073,0.04695121951219512,0.2579268292682927,0.037621951219512194
hybrid_text_visual_fusion,1.0,1.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.50_bvneg0.25,0.06219512195121951,0.06219512195121951,0.18170731707317073,0.04573170731707317,0.2554878048780488,0.03689024390243902
hybrid_text_visual_fusion,2.0,2.0,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos1.00_bvneg0.50,0.06219512195121951,0.06219512195121951,0.18170731707317073,0.04573170731707317,0.2554878048780488,0.03689024390243902
hybrid_text_visual_fusion,1.0,2.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos0.50_bvneg0.50,0.05975609756097561,0.05975609756097561,0.17256097560975608,0.04463414634146342,0.25182926829268293,0.03695121951219512
hybrid_text_visual_fusion,2.0,2.0,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos0.50_bvneg0.25,0.061585365853658536,0.061585365853658536,0.1628048780487805,0.04439024390243902,0.24573170731707317,0.03567073170731707
hybrid_text_visual_fusion,1.0,1.0,0.25,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.25_bvneg0.25,0.06097560975609756,0.06097560975609756,0.16463414634146342,0.04402439024390244,0.24329268292682926,0.03560975609756098
hybrid_text_visual_fusion,2.0,1.0,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos1.00_bvneg0.25,0.05975609756097561,0.05975609756097561,0.16829268292682928,0.04304878048780488,0.24329268292682926,0.035304878048780484
hybrid_text_visual_fusion,2.0,2.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos0.50_bvneg0.50,0.06097560975609756,0.06097560975609756,0.16463414634146342,0.04402439024390244,0.24329268292682926,0.03560975609756098
hybrid_text_visual_fusion,1.0,0.5,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos0.50_bvneg0.00,0.06097560975609756,0.06097560975609756,0.1701219512195122,0.04353658536585366,0.24085365853658536,0.034939024390243906
hybrid_text_visual_fusion,2.0,1.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos1.00_bvneg0.00,0.06097560975609756,0.06097560975609756,0.1701219512195122,0.04353658536585366,0.24085365853658536,0.034939024390243906
hybrid_text_visual_fusion,1.0,0.5,0.5,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos0.50_bvneg0.25,0.05975609756097561,0.05975609756097561,0.1628048780487805,0.04195121951219512,0.24024390243902438,0.03432926829268293
hybrid_text_visual_fusion,2.0,1.0,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext1.00_bvpos1.00_bvneg0.50,0.05975609756097561,0.05975609756097561,0.1628048780487805,0.04195121951219512,0.24024390243902438,0.03432926829268293
hybrid_text_visual_fusion,3.0,2.0,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos1.00_bvneg0.50,0.05975609756097561,0.05975609756097561,0.1603658536585366,0.042682926829268296,0.23841463414634145,0.03554878048780488
hybrid_text_visual_fusion,1.0,1.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.25_bvneg0.00,0.061585365853658536,0.061585365853658536,0.15853658536585366,0.043292682926829265,0.23658536585365852,0.034451219512195125
hybrid_text_visual_fusion,2.0,2.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos0.50_bvneg0.00,0.061585365853658536,0.061585365853658536,0.15853658536585366,0.043292682926829265,0.23658536585365852,0.034451219512195125
