difficulty_bucket,method,num_queries,recall@1,recall@5,recall@10,precision@10
hard,CLIP text-only baseline,5,0.06818181818181818,0.16818181818181818,0.2340909090909091,0.036590909090909035
medium,CLIP text-only baseline,4,0.045,0.16,0.265,0.03516666666666668
easy,CLIP text-only baseline,4,0.058333333333333334,0.12666666666666668,0.18166666666666667,0.02883333333333331


hard,CelebA visual-direction only,5,0.05454545454545454,0.16363636363636364,0.22954545454545455,0.036363636363636306
medium,CelebA visual-direction only,4,0.03333333333333333,0.12,0.2,0.026333333333333285
easy,CelebA visual-direction only,4,0.065,0.16,0.22833333333333333,0.03516666666666668


hard,Hybrid text + visual fusion,5,0.08409090909090909,0.26136363636363635,0.3659090909090909,0.05590909090909089
medium,Hybrid text + visual fusion,4,0.056666666666666664,0.18166666666666667,0.2866666666666667,0.039500000000000035
easy,Hybrid text + visual fusion,4,0.065,0.15333333333333332,0.22666666666666666,0.0325


hard,Hybrid prompt-ensemble text + visual fusion,5,0.09090909090909091,0.2409090909090909,0.3386363636363636,0.05204545454545454
medium,Hybrid prompt-ensemble text + visual fusion,4,0.051666666666666666,0.175,0.285,0.03983333333333336
easy,Hybrid prompt-ensemble text + visual fusion,4,0.065,0.17,0.235,0.035833333333333356
